Title,Source,Type,Theme,Origin,Tone Set,Tonal Center,Scale,CSP,Meter,Rhythmic Content,Hardest Rhythmic,Hardest Melodic,Melodic Form,Rhythmic Form,Classroom Use,Grade Level,Game,Full Melody,Full Rhythm,Source Link,PDFs,MuseScore Embed,Lyrics,
Chairs to Mend,"Bolkavec, E., & Johnson, J. (1996). 150 Rounds for Singing and Teaching. New York, Boosey & Hawkes. p. 8",Canon,"Food, Street cries",England,"s, drmfsl",do,"do hexachordal ext,",C,4/4,"ta,ti-ti,to-o,tam-ti",tam-ti,fa,ABC,AAB,"Part singing, Round, Canon, 3 part, tam-ti","3,4,5",No,"sfmlsmfmrdfmrds,s,dds,s,dd",tmt t t tmt to tmt t t tmt t tt to t tt to to,,"Chairs to Mend-Traditional_Notation.pdf, Chairs to Mend-Stick_Notation.pdf, Chairs to Mend-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/30245390/embed,"Chairs to mend, old chairs to mend, Mackerel, fresh mackerel, Any old rags, Any old rags?",
Come Follow,"Bolkavec, E., & Johnson, J. (1996). 150 Rounds for Singing and Teaching. New York, Boosey & Hawkes. p. 10","Canon, Follow the Leader Game","Following, Leader",England,drmfsltd'r'm',do,do diatonic ext',C,2/4,"ta,ti-ti,tika-tika,tim-ka",tim-ka,mi'/ti,ABC,ABC,"Part singing, Round, Canon, 3 part, tim-ka, tika-tika","4,5",Students form one long line. The teacher or chosen leader leads the line while singing.,d'ttllssffmdfsddrmfsmfrsmltd'r'td'd'td'm'm'r'm'd'r'td'llsm'r'r'd,t tt tt tt tt tt tt t tktk tt tt tt tktk tt tt t tmk tt tmk tt tt tt tmk t,,"Come Follow-Traditional_Notation.pdf, Come Follow-Stick_Notation.pdf, Come Follow-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/30245684/embed,"Come follow, follow, follow, follow, follow, follow me! Whither shall I follow, follow, follow, whither shall I follow, follow thee? To the greenwood, to the greenwood to the greenwood, greenwood tree.",
Welcome All,Learned from Christopher Roberts. 2023. Kodaly Levels class at SPU.,Canon,"Welcome, January, New Year, Holidays",Bible ?,"s, drmfs",do,"do pentachordal ext,",F,4/4,"ta,ti-ti,to-o,ti,ti-rest",ti-rest,fa,A,A,"Part singing, Round, Canon, 4 part, ti, ti-rest","3,4,5",No,"ds,ddrmdmmffssffmmrd",t t to t t t tiz ti tt tt tt tt tt t to,,"Welcome All-Traditional_Notation.pdf, Welcome All-Stick_Notation.pdf, Welcome All-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/30274790/embed,"Welcome all, good friends here, A merry January and a Happy New Year! god bless all pray god bless",
Corn Winnowing Song,"Oral, sung by Esther Stutzman and Cher Ross, collected C. Roberts, 11/97","Harvest Song, Work Song, Movement","Harvest, Food, Corn",Hopi Tribe,d m s,do,do tritonic,G#,2/4,"ta,ti-ti,rest,to-o",to-o,do,AAB,AAB,"Introduce do, Language, Movement","1,2,3",Possible movements: Students toss a ball up to the beat of the song to mimic the Hopi people tossing corn ears into the air to clear off dust and and bugs.,mmssmdmmssmdmmsssmmsss,t t t t to t z t t t t to t z t t tt t t t tt t ,,"Corn Winnowing Song-Traditional_Notation.pdf, Corn Winnowing Song-Stick_Notation.pdf, Corn Winnowing Song-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/30275156/embed,"Bota, bota, bota! Bota, bota, bota! Yo ai inie yo ai inie!",
I See the Moon,Learned from Christopher Roberts. 2023. Kodaly Levels class at SPU.,Lullaby,"Moon, Space",England,d m s,do,do tritonic,A,2/4,"ta,ti-ti,rest",rest,do,AB,AA,"Introduce do, Practice rest","1,2,3",No,smdsmdssssmdsmsddd,t tt t tt t t t z t tt t tt t t t z,,"I See the Moon-Traditional_Notation.pdf, I See the Moon-Stick_Notation.pdf, I See the Moon-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/30275126/embed,"I see the moon and the moon sees me. God bless the moon and the moon thank me. ""Hello O moon!"" and the moon greets me.",
Johnny Caught a Flea,"Gagné, D., & Sills, J. (2011). The Orff Source. Alberta, Themes and Variations.",Circle Game,"Animals, Bugs, Fleas, Johnny",USA,d m sl,do,do tetratonic,A,2/4,"ta,ti-ti,rest",rest,do,AB,AB,"Introduce do, Practice rest, Game","1,2,3","Students form a standing circle.
A ""Johnny"" is selected to walk around the outside of the circle. Johnny chooses a student by tapping them on the shoulder and the chosen student lies down pretending to be the dead flea. Johnny rejoins the circle and a new Johnny is chosen by the teacher.",slsssllssmssmsmd,t t t z tt tt t z t t tt t t t t z,,"Johnny Caught a Flea-Traditional_Notation.pdf, Johnny Caught a Flea-Stick_Notation.pdf, Johnny Caught a Flea-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/30275504/embed,"One, two, three, Johnny caught a flea! Flea died Johnny cried, Tee hee hee.",
Little Leaves are Falling,"Oral, learned from teacher Kelly Griffin",Children's Song,"Leaves, Autumn, Seasons, Trees",England,d m sl,do,do tetratonic,A,2/4,"ta,ti-ti,rest",rest,do,AB,AA,"Introduce do, Practice rest","1,2,3",No,ssslsmssslsssslsmssmmd,tt tt t t tt tt t z tt tt t t tt tt t z,,"Little Leaves are Falling-Traditional_Notation.pdf, Little Leaves are Falling-Stick_Notation.pdf, Little Leaves are Falling-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/30275732/embed,"Little leaves are falling, falling ev'rywhere. Making all the tall trees look so very bare.",
"Mouse, Mousie","Choksy, L. (1981). The Kodaly Context. Upper Saddle River, NJ: Prentice Hall",Chase Game,"Animals, Mice, Chasing, Cat, Kitty",Unknown,d m s,do,do tritonic,Bb,2/4,"ta,ti-ti",ti-ti,do,AA',AA',"Introduce do, Practice ti-ti, Game","1,2,3","Students form a seated circle. 
A ""Mousie"" is selected by the teacher and stands and closes their eyes. A ""Kitty"" is secretly selected by the teacher (optionally with all students' eyes closed). Mousie walks around the outside of the circle while students sing. On 'you', Kitty jumps up and runs around the circle to chase Mousie. Mousie can win by sitting in Kitty's spot. Win or lose, the Kitty becomes the new Mousie and a new Kitty is secretly chosen by the teacher.",smdssmdsddddssmdssmdsdddd,t tt tt tt t t tt t tt tt tt tt t t tt t,,"Mouse Mousie-Traditional_Notation.pdf, Mouse Mousie-Stick_Notation.pdf, Mouse Mousie-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/30294476/embed,"Mouse, mousie, little mousie, hurry, hurry do. Or the kitty in the housie will be chasing you!",
"Mos', Mos',","Campbell, P., & Scott-Kassner, C. (2018). Music in Childhood. Boston, Cengage Learning. p. 389",Story,"Animals, Bobcat",Hopi Tribe,d m s,do,do tritonic,A,2/4,"ta,ti-ti,rest,to-o,ti,ti-rest","ti, to-o",do,ABC,ABC,"Introduce do, Practice to-o, Language, Movement","1,2,3,4",No,sssdmsssdmsssssdmsssssdmmmmm,ti tiz ti tiz tt ti tiz ti tiz ti tiz tt ti tiz tt tt tt ti tiz tt tt tt ti tiz to t z to ti tiz z,,"Mos Mos-Traditional_Notation.pdf, Mos Mos-Stick_Notation.pdf, Mos Mos-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/30298463/embed,"Mos', mos', naitila Mos', mos', naitila Kanel perkye naitila Kanel perkye naitila Mosa Mosa spoken: nya nya nya nya...",
Pease Porridge Hot,"Forrai, K. (1995). Music in Preschool. New York, NY. Boosey & Hawkes.",Children's Song,Food,England,d m s,do,do tritonic,Bb,2/4,"ta,ti-ti,rest",rest,do,AB,AB,"Introduce do, Practice rest","1,2,3","Basic clapping pattern: 1. Knees 2. Clap own hands 3. Clap partner’s hands 4. Clap own hands. 
Traditional clapping pattern: Key: X = Both hands to own thighs O = Clap own hands together R = Clap right hands with partner L = Clap left hands with partner B = Clap both of partner’s hands z = rest.  
X OO R z | X OO L z | X OO RR O|  L O B z 
source: kodalycollection.org",smmssmmssmmssmsmd,t tt t z t tt t z t tt tt t t t t z,,"Pease Porridge Hot-Traditional_Notation.pdf, Pease Porridge Hot-Stick_Notation.pdf, Pease Porridge Hot-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/30298661/embed,"Please porridge hot! Pease porridge cold! Pease porridge in the pot, Nine days old!",
Ding Dong Diggi Diggi Dong,"Hooper, D. (2015). My Mini Music Books Teacher's Manual. Australia, My Mini Music Books Publishing.",Canon,"Animals, Cats, Clocks, Silly, Nonsense",Unknown,drm sl d',do,do pentatonic ext',D,2/4,"ta,ti-ti,rest,tika-tika",tika-tika,do',AA',AA',"Introduce do' (high do), Introduce tika-tika, Practice major pentatonic","2,3,4",No,d'sllllsmmmmrmddsd'sllllsmmmmrmd,t t tktk t tktk tt tt t t t tktk t tktk tt t z,,"Ding Dong Diggi Diggi Dong-Traditional_Notation.pdf, Ding Dong Diggi Diggi Dong-Stick_Notation.pdf, Ding Dong Diggi Diggi Dong-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/30299045/embed,"Ding dong, diggi diggi dong, diggi diggi dong the cat she's gone, Ding dong, diggi diggi dong, diggi diggi ding dang dong.",
Frere Jacques,"Many sources. First instance of words and melody together in 1869: Fuld, James J. (1995). The Book of World Famous Music Classical, Popular, and Folk. Garden City, NY. Dover Publications.","Canon, Nursery Rhyme","Sleep, Bells",France,"s, drmfsl",do,"do hexachordal ext,",F,2/4,"ta,ti-ti,tika-tika",tika-tika,fa,AB,AB,"Introduce tika-tika, Language","2,3,4",No,"drmddrmdmfsmfsslsfmdslsfmdds,dds,d",tt tt tt tt tt t tt t tktk tt tktk tt tt t tt t,,"Frere Jacques-Traditional_Notation.pdf, Frere Jacques-Stick_Notation.pdf, Frere Jacques-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/30317762/embed,"Frere Jacques, frere Jacques, Dormez vous? dormez vous? Sonnez les matines, Sonnez les matines, Ding ding dong, ding ding dong.",
"Goodnight, Bed Bugs",Many sources. The first instance of the rhyme appears in Bascobel: The Novel by Emma M. (1881) ,Nursery Rhyme,"Sleep, Dreams, Bugs",USA,drm sl,do,do pentatonic,A,2/4,"ta,ti-ti,tika-tika",tika-tika,re,AB,AB,"Introduce tika-tika, Practice re","2,3,4",No,smsmsmlssmssmssssmssmrrd,t t t t t tt tt t tt t tktk t tt t tt t,,"Goodnight Bed Bugs-Traditional_Notation.pdf, Goodnight Bed Bugs-Stick_Notation.pdf, Goodnight Bed Bugs-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/30318149/embed,"Goodnight, sleep tight, don't let the bed bugs bite, If they do, hit 'em with a shoe, 'til they turn black and blue.",
Love Somebody,"Sandburg, C. (1955). The American Songbag. New York: Harcourt, Brace, Jovanovich. p. 140-141.",Dance,Love,USA,"s, t,drmfs",do,"do hexachordal ext,",F,2/4,"ta,ti-ti,tika-tika",tika-tika,"ti,",ABAC,AAAB,"Introduce tika-tika, Practice re, Practice s,","2,3,4",Dance,"dmssrmfdmssrt,s,dmssrmfmmrrrrddd",tt tt tt t tt tt tt t tt tt tt t tt tktk tt t,,"Love Somebody-Traditional_Notation.pdf, Love Somebody-Stick_Notation.pdf, Love Somebody-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/30318383/embed,"Love somebody, yes I do, Love somebody yes I do, Love somebody, yes I do, Love somebody but I won't tell who.",
Paw Paw Patch,"Rohrbough, L. (1940). Hand Play Party Book. Delaware, OH. Cooperative Recreation Service.",Play Party,"Fruit, Finding, Boys and Girls","USA, Appalachia","s, t,drmfsl",do,"do diatonic ext,",F,2/4,"ta,ti-ti,tika-tika",tika-tika,"ti,",ABAC,AAAB,"Introduce tika-tika, Practice re, Practice s,, Practice t,","2,3,4,5","Students form two lines (Line 1 & Line 2), all facing forward.
Verse 1 = Student 1 in Line 2 walks clockwise around Line 2 and Line 1 and back to original spot.
Verse 2 = Same student walks around again, this time with all of the students in Line 1 following behind.
Verse 3 = Line 1 walks counterclockwise to the bottom of the line and back up again to the same spots at the same time as Line 2 walks clockwise to the bottom of their line and back up again to the same spots. When the first student of each line meets in their original spots again, they face each other, join hands, and form an arch. The rest of the students go under the arch and go around each line again and back up to where they started. The first student in each line goes to the bottom of the lines and there is a new student in the front of each line.
source: bethsnotesplus.com","ddddmmssmdrrrrt,t,rrt,s,ddddmmssmdssslsfmdd",tt tt tktk tt tt tt tktk tt tt tt tktk tt tt tktk tt t,,"Paw Paw Patch-Traditional_Notation.pdf, Paw Paw Patch-Stick_Notation.pdf, Paw Paw Patch-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/30408863/embed,"Where, o where is pretty little Susie, Where, o where is pretty little Susie, Where, o where is pretty little Susie, Way down yonder in the pawpaw patch.",
Pumpkin Pumpkin,Learned from Christopher Roberts. 2023. Kodaly Levels class at SPU.,Movement,"Halloween, Holidays, Autumn, Fall, Pumpkins",Unknown,drm sl,do,do pentatonic,D,2/4,"ta,ti-ti,tika-tika",tika-tika,re,AB,AB,"Introduce tika-tika, Practice re, Movement, Student prompt","K,1,2,3","Students form a standing circle. An emotion is chosen by student prompt. 
M. 1 -  Touch hips, shoulders, hips, shoulders
M. 2 - Draw a circle in the air with pointer finger
M. 3 - Rotate in place by shuffling 
M. 4 - Cover your face with hands, reveal the chosen emotion on the word 'that'. Freeze the face and try not to laugh.",dmdmdmsssslsmdrmrd,tt tt tt t tktk tktk tt t,,"Pumpkin Pumpkin-Traditional_Notation.pdf, Pumpkin Pumpkin-Stick_Notation.pdf, Pumpkin Pumpkin-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/30409121/embed,"Pumpkin, pumpkin, round and fat, Turn into a jackolantern just like that!",
Tideo,"Owens, W. (1936). Swing and Turn: Texas Play-Party Games. Dallas, TX. Tardy Publishing Co. p. 83.","Play Party, Partner, Clapping",Partners,USA,drm sl d',do,do pentatonic ext',F#,2/4,"ta,ti-ti,tika-tika",tika-tika,do',AA'BB,AA'BB,"Introduce tika-tika, Practice do', Practice form","2,3,4","Students form two concentric circles, facing a partner. 
On every ‘pass’, the outer circle steps one partner to the left. On every ‘Tideo’, pat knees, clap hands, clap partner to the rhythm. On every ‘Jingle at the window’, pat knees to the rhythm. 
Increase the difficulty: ‘Pass 1 window’, outer circles steps 1 partner to the left. ‘Pass 2 windows’, step 2 parters. ect.
",msslmssmsslmrdmsslmssmsssslmrdmsd'msd'msssslmrdmsd'msd'msssslmrd,tt tt tt t tt tt tt t tt tt tt t tktk tt tt t tt t tt t tktk tt tt t tt t tt t tktk tt tt t,,"Tideo-Traditional_Notation.pdf, Tideo-Stick_Notation.pdf, Tideo-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/30409598/embed,"Pass one window, Tideo, Pass two windows, Tideo, Pass three windows, Tideo, Jingle at the window, Tideo. Tideo, Tideo, Jingle at the window, Tideo. Tideo, Tideo, Jingle at the window, Tideo.",
Vamos a Jugar,"Collected by Sally Trenfield, in 1995, from her students in Texas.","Chant, Passing Game, Elimination Game","Playing, Nonsense",USA,,,,,2/4,"ta,ti-ti,tika-tika",tika-tika,,,AB,"Introduce tika-tika, Language","2,3,4,5","Students form a seated circle, with student's left hands facing up and right hand, palm-up, in their neighbor's left hand.
Students pass the beat by crossing their body with their right hand and tapping the hand of the neighbor to their left. At the end of the song, the student just tapped chooses a number 1-10 in Spanish. Students count up to the chosen number while continuing the pass hand pattern. The final student tapped is out, and can create a new circle inside the larger circle. 
Source: musicalaabbott.com
",,tt tt tt tt tt tt tt t tktk tt tt t tktk tt tt t,,"Vamos a Jugar-Traditional_Notation.pdf, Vamos a Jugar-Stick_Notation.pdf",https://musescore.com/user/14822371/scores/30409886/embed,"Vamos a jugar el juego, de la occa occa che. Valo valo valo valo me; Chico chico chico chico che.",
"Birdie, Birdie","Schwartz, T. (Collector). (1953). 1,2,3 and a Zing Zing Zing. Washington DC: Smithonian Folksways","Chant, Student Prompt","Animals, Birds, Bathroom",Unknown,,,,,2/4,"ta,ti-ti",ti-ti,,,AA,"Chant, Student prompt, Steady Beat, Beat vs Rhythm","K,1,2",Students are prompted to chose the next animal that will be chanted instead of 'cows'.,,tt tt tt t tt tt tt t tt tt tt t tt tt tt t,,"Birdie Birdie-Traditional_Notation.pdf, Birdie Birdie-Stick_Notation.pdf",https://musescore.com/user/14822371/scores/30462941/embed,"Birdie, birdie in the sky, You dropped something in my eye; Oh, don't worry I won't cry, I'm just happy cows don't fly.",
"Engine, Engine","Eisen, A. & Robertson, L. (2002). An American Methodology. Lake Charles, LA: Sneaky Snake Publications, p. 274",Chant,Trains,Unknown,,,,,2/4,"ta,ti-ti",ti-ti,,,AA,"Chant, Steady Beat, Beat vs Rhythm","K,1,2",No,,tt tt tt t tt tt tt t tt tt tt t tt tt tt t,,"Engine Engine-Traditional_Notation.pdf, Engine Engine-Stick_Notation.pdf",https://musescore.com/user/14822371/scores/30463028/embed,"Engine, engine, number nine. Goin' down Chicago line. See it sparkle, see it shine, Engine, engine, number nine.",
Here Comes the Mailman,Learned from Christopher Roberts. 2023. Kodaly Levels class at SPU.,Solo Singing,"Mail, Jobs",Unknown,drm sl,do,do pentatonic,A,2/4,"ta,ti-ti,rest",rest,re,AB,AA,"Solo Singing, Practice re, Introduce rest","K,1,2,3","Students form a seated circle. 
A mailman is chosen by the teacher. They are given ‘mail’ that can be any small trinket. Sitting students close their eyes and sing with their hands cupped in front of them. The mailman walks around the inside of the circle and delivers mail secretly. At the end of the song before eyes open, hands are clasped closed. Even students who did not get a delivery peer into their hand to try to deceive their peers. Teacher: “Who has the (penny)?” [smlsm t tt t t]  Solo student: “I have the (penny)” [smlsm t tt t t]. A new mailman is chosen by the teacher.",smlsmssmrmsmlsmssmrd,t tt t t tt tt t z t tt t t tt tt t z,,"Here Comes the Mailman-Traditional_Notation.pdf, Here Comes the Mailman-Stick_Notation.pdf, Here Comes the Mailman-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/30463217/embed,"Here comes the mailman, up the street and down. Here comes the mailman all around the town.",
A Canoa Virou,"Juliana Cantarelli Vita, sung October, 2019. Transcribed by C. Roberts.","Circle Game, Student Name Prompt","Boats, Ocean, Sea",Brazil,drmfsl,do,do hexachordal,E,2/4,"ta,ti-ti,rest,anacrusis",ti-ti (rest at end),fa,AB,AB,"Student Name prompt, Practice fa, Practice re, Language","2,3,4,5","Students form a standing circle, holding hands.
Students walk around the circle to the left singing the first verse. The teacher chooses a student. As the chosen students’ name is called out, they turn round to face the outside of the circle. The second verse is then sung as the students move to the right and they turn back to face the center each time their name is sung.
source: singinggamesforchildren.com
",dmssmddmsssmrrmfffrssslsfrd,tt t tt t tt tt tt t tt tt tt tt tt t tt t z,,"A Canoa Virou-Traditional_Notation.pdf, A Canoa Virou-Stick_Notation.pdf, A Canoa Virou-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/30463544/embed,"A canoa virou Pois deixaram ela virar, Foi por causa de (Maria) que não soube re mar.",
My Little Boat,"English transliteration of A Canoa Virou. Original: Juliana Cantarelli Vita, sung October, 2019. Transcribed by C. Roberts.","Circle Game, Student Name Prompt","Boats, Ocean, Sea",Brazil,drmfsl,do,do hexachordal,G#,2/4,"ta,ti-ti,rest,ti,anacrusis",ti,fa,AB,AB,"Student Name prompt, Practice fa, Practice re","K,1,2,3","Students form a standing circle, holding hands. 
Students walk around the circle to the left singing the first verse. The teacher chooses a student. As the chosen students’ name is called out, they turn round to face the outside of the circle. The second verse is then sung as the students move to the right and they turn back to face the center each time their name is sung.
source: singinggamesforchildren.com
",msssmdddmsssmrrmfffrssslsfmrd,ti tt tt tt tt tt tt t tt tt tt tt tt tt tt t tiz,,"My Little Boat-Traditional_Notation.pdf, My Little Boat-Stick_Notation.pdf, My Little Boat-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/30463814/embed,"My little boat turned over when the wind began to blow, it was all because of (Lisa) who did not know how to row. Now if I were a fishy living way down in the sea, I would rescue my friend (Michael) and would bring him back to me.",
El Barco Se Hunde,"Gibson, R. (2021). ¡Canta Conmigo!: Songs and Singing Games from Guatemala and Nicaragua. Oxford, Oxford University Press.","Chant, Grouping Game, Scatter Game","Boats, Groups",Nicaragua,,,,,2/4,"ta,ti-ti,ti,anacrusis",ti,,,A,"Language, Chant, Counting","1,2,3","Students form a standing circle, holding hands.  A leader is chosen to stand in the center.
Students chant while walking in a circle. At the end, the leader shouts a number in Spanish, from 2-8. Students scatter to form groups of the selected number. Any student not in a group of the correct number is out of the game. The game can continue until there are two students left as the winners.
source: C. Roberts, Kodaly Level 1 materials",,ti t tt t tt t tt t tt t t tt t t tiz,,"El Barco Se Hunde-Traditional_Notation.pdf, El Barco Se Hunde-Stick_Notation.pdf",https://musescore.com/user/14822371/scores/30464258/embed,El barco se hunde se hunde viene la o lagrupos de (dos)!,
Emmanuel Road,"Learned from David Aarons in April, 2014. Transcribed by C. Roberts.",Call and Response,"Passing, Rocks, Girl and Boy",Jamaica,"s,l,t,drmf",do,"do diatonic ext,",G,2/2,"ta,ti-ti,rest,tam-ti,syn-co-pa,ti,ti-rest",syn-co-pa,"ti,",AABCBCBCBCBC,AABCBCBCBCB'C,"Call and Response, Passing Game, Syncopation","3,4,5","Students form a seated circle, each holding a rock or small object.
The solo singer sings the first phrase alone. On “Bruk dem one by one” students begin passing the rocks to the left with the beat. The song continues on faster and faster until the students can’t continue the pattern, or until someone’s ‘finger gets mashed’.
source: C. Roberts, Kodaly Level 1 materials","dddddddrmfmrdt,l,l,l,t,s,l,dddl,l,t,s,l,dddl,l,t,s,l,dddl,l,t,s,l,dddl,l,l,t,t,s,l,ddd",scp tt t tmt t t scp t t t z z z t t t t t tiz ti t t t t t t t tiz ti t t t t t t t tiz ti t t t t t t t tiz ti t t t tt tt t t tiz ti t t,https://www.youtube.com/watch?v=Yzg4-Ajf8Kc,"Emmanuel Road-Traditional_Notation.pdf, Emmanuel Road-Stick_Notation.pdf, Emmanuel Road-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/30540608/embed,"Go down Emanuel Road, gal and boy fi go bruk rock stone. Bruk dem one by one gal and boy Bruk dem two by two gal and boy Bruk dem three by three gal and boy finger mash no cry gal and boy 'memba a play wi da play gal and boy.",
Rocky Road,"Bennett, L. (1957). Children's Jamaican Songs and Games. Sound Recording, FW 7250. Transcribed C. Roberts June, 2014.","Call and Response, Play Party, Gate Game","Girl and Boy, Love, Roads",Jamaica,drmfsltd',do,do diatonic ext',G,2/2,"ta,ti-ti,rest,tam-ti,syn-co-pa,anacrusis",syn-co-pa,ti,AABBAABBCC,AABBAABBAA,"Call and Response, Play Party, Syncopation","3,4,5","Students form two lines facing each other with raised hands to form an arch.
The couple at one end drops hands and trots through the arch to the other and form an arch when theу get there. The other couples follow in succession, the lines moving towards the original starting point of the game. That means that the lines are always moving until the point. The first couple gets back to its original starting point. The first couple now drops hands and trots, each on the again outside of his line, towards the end, where they face each other and form an arch. The other couples do the same thing until the first couple is again in its original position, when the game ends. 
source: Bennett, L. (1957). Children's Jamaican Songs and Games. 
",sd'tlslsmssfmrddssdrrmffslsssfmrddsd'tlslsmssfmrddssdrrmffslsssfmrddd'lld'd'lsd'sslsfmm,t t t t tt scp t t tmt t t tmt t tt t tt t tt t tt t t tmt t t tmt t t t t t tt scp t t tmt t t tmt t tt t tt t tt t tt t t tmt t t tmt t t t t t tt scp t t tmt t t tmt t,https://www.youtube.com/watch?v=g72DBghJapM,"Rocky Road-Traditional_Notation.pdf, Rocky Road-Stick_Notation.pdf, Rocky Road-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/30547361/embed,"Right tru, right tru de rocky road, Sing Marley, Charley call you. Any bwoy mi no love, mi no chat to dem, Sing Marley, Charley call you. Right tru, right tru de rocky road, Sing Marley, Charley call you. Any gal mi no love, mi no chat to dem, Sing Marley, Charley call you. Right tru, right tru de rocky road, Sing Marley, Charley call you.",
Elf Canon,Learned from B. Van Pelt. 2019. ASB K-8 School.,Canon,"Elves, Dwarfs, Fantasy, Humor",Unknown,"m,f,s, t,drm",do,"do hexatonic ext,",E,4/4,"ta,ti-ti,rest,anacrusis",rest,"mi,/ti,",ABC,ABC,"Part singing, Round, Canon, 3 part, Practice rest","2,3,4,5",No,"s,dddt,l,t,ds,m,f,s,l,s,s,s,s,drmdrdrd",t t tt tt t t z z t tt tt t t z t z t tt tt tt t zz t,,"Elf Canon-Traditional_Notation.pdf, Elf Canon-Stick_Notation.pdf, Elf Canon-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/30547781/embed,"""Hey Ho!"" cried the merry elves.* Its offto the woods we are. We'd love to stay but time is short.",
Alabama Gal,"Eisenberg, L. & Seeger, P. (1959). American Play Parties. Folkways FC 7604.",Play Party,"Alabama, Southern USA",USA,"s,l, drm s",do,"do pentatonic ext,",G,2/4,"ta,ti-ti,syn-co-pa,rest",syn-co-pa,"so,",AAAB,AAAB,"Play Party, Practice re, Practice syn-co-pa, Introduce syn-co-pa, Practice s,","2,3,4","Students form two lines facing each other, about six feet apart.
Verse 1: Head couple join hands and sashay down the center of the set toward the foot for 8 beats (“Come through ’n a hurry” twice). They return to the head of the set during the next 8 beats.
Verses 2–4: Head couple reel down the line. At the end of the fourth verse, the singing begins again with “Come through ’n a hurry.” At this point the second couple begins the figures with a sashay down the set, going as far as the first couple if that couple has not yet finished reeling to the bottom. Continue the dance until all couples have taken part.
source: kodalycollection.org, Eisenberg, L. & Seeger, P. (1959). American Play Parties. Folkways FC 7604.","ddl,dmdddl,s,ddl,dmmsmrd",scp t t scp t t scp t t tt tt t z,,"Alabama Gal-Traditional_Notation.pdf, Alabama Gal-Stick_Notation.pdf, Alabama Gal-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/30548057/embed,"Come through 'na hurry, Come through 'na hurry, Come through 'na hurry, Alabama gal. I don't know how, how, I don't know how, how, I don't know how, how, I showed you how, how, I showed you how, how, I showed you how, how, Ain't I rock candy? Ain't I rock candy? Ain't I rock candy?",
Aquaqua,"Learned from Rita Klinger (1979). Collected from first grade students of Givat Mordecai, Jerusalem, Israel.","Passing Game, Elimination Game","Vocables, Humor",Israel,"m, s,l,t,d",do,"do pentatonic* ext,",D,2/4,"ta,ti-ti,rest,tam-ti,ti,ti-rest,anacrusis",tam-ti,"mi,/ti,",AAB,ABC,"Introduce m,, Practice s,","3,4,5","Students form a seated circle, with student's left hands facing up and right hand, palm-up, in their neighbor's left hand.
Students pass the beat by crossing their body with their right hand and tapping the hand of the neighbor to their left. At the end of the song, students count out “1, 2, 3, 4, 5.” while passing the beat and speeding up. The student who gets tapped on 5 is out, unless they are quick enough to dodge the hand and the student who said 4 is out.
source: C. Roberts, Kodaly Level 1 materials","s,ddds,l,s,l,t,dds,s,l,s,l,l,t,t,ds,m,s,m,s,m,s,m,s,t,s,d",ti tt tt t t t t t z t tt t t tt tt t tiz ti tmt tmt tt tt t t t tiz,,"Aquaqua-Traditional_Notation.pdf, Aquaqua-Stick_Notation.pdf, Aquaqua-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/30548303/embed,"Aquaqua dela omar qua, qua, qua, Del sima trico trico, trico, tra Va lo, va lo, va lo, va la va la, va lo.",
